District,School,DESE ID,Category,Item ID,NonLikert Title,NL_Value,LikertScore,Benchmark,Data Type,Academic Year
Revere,Seacoast High School,02480520,4-B-ii,a-degr-i1,4-year on-time graduation rate (HS only),31.6,1.58,80,,2016-17
Somerville,Somerville High School,02740505,4-B-ii,a-degr-i1,4-year on-time graduation rate (HS only),85,4.25,80,,2016-17
Attleboro,Attleboro High School,00160505,4-B-ii,a-degr-i1,4-year on-time graduation rate (HS only),91,4.55,80,,2016-17
Revere,Revere High School,02480505,4-B-ii,a-degr-i1,4-year on-time graduation rate (HS only),93.6,4.68,80,,2016-17
Winchester,Winchester High School,03440505,4-B-ii,a-degr-i1,4-year on-time graduation rate (HS only),98,4.9,80,,2016-17
Revere,Seacoast High School,02480520,4-B-ii,a-degr-i3,5-year graduation rate (HS only),42.3,1.990588235,85,,2016-17
Somerville,Somerville High School,02740505,4-B-ii,a-degr-i3,5-year graduation rate (HS only),87.5,4.117647059,85,,2016-17
Attleboro,Attleboro High School,00160505,4-B-ii,a-degr-i3,5-year graduation rate (HS only),88.1,4.145882353,85,,2016-17
Revere,Revere High School,02480505,4-B-ii,a-degr-i3,5-year graduation rate (HS only),96.5,4.541176471,85,,2016-17
Winchester,Winchester High School,03440505,4-B-ii,a-degr-i3,5-year graduation rate (HS only),99,4.658823529,85,,2016-17
Revere,Seacoast High School,02480520,3-A-i,a-reso-i1,Average class size,5.6,4.88,20,,2016-17
Somerville,Somerville High School,02740505,3-A-i,a-reso-i1,Average class size,14,3.2,20,,2016-17
Revere,Revere High School,02480505,3-A-i,a-reso-i1,Average class size,15.7,2.86,20,,2016-17
Somerville,Arthur D. Healey School,02740075,3-A-i,a-reso-i1,Average class size,16.1,2.78,20,,2016-17
Attleboro,Peter Thacher Elementary School,00160050,3-A-i,a-reso-i1,Average class size,16.5,2.7,20,,2016-17
Revere,Lincoln Elementary School,02480025,3-A-i,a-reso-i1,Average class size,17.3,2.54,20,,2016-17
Somerville,Winter Hill Community Innovation School,02740120,3-A-i,a-reso-i1,Average class size,17.8,2.44,20,,2016-17
Winchester,Winchester High School,03440505,3-A-i,a-reso-i1,Average class size,18,2.4,20,,2016-17
Winchester,McCall Middle School,03440305,3-A-i,a-reso-i1,Average class size,18,2.4,20,,2016-17
Winchester,Ambrose Elementary School,03440045,3-A-i,a-reso-i1,Average class size,18,2.4,20,,2016-17
Winchester,Lincoln Elementary School,02480025,3-A-i,a-reso-i1,Average class size,18,2.4,20,,2016-17
Winchester,Muraco Elementary School,03440040,3-A-i,a-reso-i1,Average class size,18,2.4,20,,2016-17
Attleboro,Attleboro High School,00160505,3-A-i,a-reso-i1,Average class size,18.1,2.38,20,,2016-17
Somerville,John F. Kennedy Elementary School,02740083,3-A-i,a-reso-i1,Average class size,18.2,2.36,20,,2016-17
Somerville,Benjamin G. Brown School,02740015,3-A-i,a-reso-i1,Average class size,18.5,2.3,20,,2016-17
Revere,Beachmont Elementary School,02480013,3-A-i,a-reso-i1,Average class size,18.7,2.26,20,,2016-17
Winchester,Lynch Elementary School,03440020,3-A-i,a-reso-i1,Average class size,19,2.2,20,,2016-17
Winchester,Vinson-Owen Elementary School,03440025,3-A-i,a-reso-i1,Average class size,19,2.2,20,,2016-17
Revere,Hill Elementary School,02480035,3-A-i,a-reso-i1,Average class size,19.4,2.12,20,,2016-17
Revere,Garfield Middle School,02480057,3-A-i,a-reso-i1,Average class size,19.5,2.1,20,,2016-17
Somerville,West Somerville Neighborhood School,02740115,3-A-i,a-reso-i1,Average class size,19.9,2.02,20,,2016-17
Revere,Garfield Elementary School,02480056,3-A-i,a-reso-i1,Average class size,20,2,20,,2016-17
Somerville,East Somerville Community School,02740111,3-A-i,a-reso-i1,Average class size,20,2,20,,2016-17
Somerville,Dr. Albert F. Argenziano School at Lincoln Park,02740087,3-A-i,a-reso-i1,Average class size,20.2,1.96,20,,2016-17
Revere,Rumney Marsh Academy,02480014,3-A-i,a-reso-i1,Average class size,20.3,1.94,20,,2016-17
Attleboro,A. Irvin Studley Elementary School,00160001,3-A-i,a-reso-i1,Average class size,20.5,1.9,20,,2016-17
Attleboro,Cyril K. Brennan Middle School,00160315,3-A-i,a-reso-i1,Average class size,20.8,1.84,20,,2016-17
Attleboro,Thomas Willett Elementary School,00160035,3-A-i,a-reso-i1,Average class size,21.7,1.66,20,,2016-17
Attleboro,Wamsutta Middle School,00160320,3-A-i,a-reso-i1,Average class size,21.8,1.64,20,,2016-17
Revere,Whelan Elementary School,02480003,3-A-i,a-reso-i1,Average class size,21.8,1.64,20,,2016-17
Attleboro,Hyman Fine Elementary School,00160040,3-A-i,a-reso-i1,Average class size,22.4,1.52,20,,2016-17
Revere,Paul Revere Elementary School,02480050,3-A-i,a-reso-i1,Average class size,22.6,1.48,20,,2016-17
Revere,Susan B. Anthony Middle School,02480305,3-A-i,a-reso-i1,Average class size,22.9,1.42,20,,2016-17
Attleboro,Hill-Roberts Elementary School,00160045,3-A-i,a-reso-i1,Average class size,23.9,1.22,20,,2016-17
Attleboro,Robert J. Coelho Middle School,00160305,3-A-i,a-reso-i1,Average class size,24.3,1.14,20,,2016-17
Somerville,Next Wave/Full Circle,02740510,2-C-i,a-vale-i2,Average daily attendance,73,3.244444444,90,,2016-17
Revere,Seacoast High School,02480520,2-C-i,a-vale-i2,Average daily attendance,75,3.333333333,90,,2016-17
