District,School,DESE ID,Category,Item ID,NonLikert Title,NL_Value,LikertScore,Benchmark,Data Type,Academic Year
Revere,Seacoast High School,02480520,4-B-ii,a-degr-i1,4-year on-time graduation rate (HS only),22.2,1.11,80,%,2017-18
Somerville,Next Wave/Full Circle,02740510,4-B-ii,a-degr-i1,4-year on-time graduation rate (HS only),33,1.65,80,%,2017-18
Somerville,Somerville High School,02740505,4-B-ii,a-degr-i1,4-year on-time graduation rate (HS only),87.9,4.395,80,%,2017-18
Attleboro,Attleboro High School,00160505,4-B-ii,a-degr-i1,4-year on-time graduation rate (HS only),93.3,4.665,80,%,2017-18
Revere,Revere High School,02480505,4-B-ii,a-degr-i1,4-year on-time graduation rate (HS only),96.9,4.845,80,%,2017-18
Winchester,Winchester High School,03440505,4-B-ii,a-degr-i1,4-year on-time graduation rate (HS only),99.3,4.965,80,%,2017-18
Somerville,Next Wave/Full Circle,02740510,4-B-ii,a-degr-i3,5-year graduation rate (HS only),33,1.552941176,85,%,2017-18
Revere,Seacoast High School,02480520,4-B-ii,a-degr-i3,5-year graduation rate (HS only),35.1,1.651764706,85,%,2017-18
Somerville,Somerville High School,02740505,4-B-ii,a-degr-i3,5-year graduation rate (HS only),88.9,4.183529412,85,%,2017-18
Attleboro,Attleboro High School,00160505,4-B-ii,a-degr-i3,5-year graduation rate (HS only),92,4.329411765,85,%,2017-18
Revere,Revere High School,02480505,4-B-ii,a-degr-i3,5-year graduation rate (HS only),95.1,4.475294118,85,%,2017-18
Winchester,Winchester High School,03440505,4-B-ii,a-degr-i3,5-year graduation rate (HS only),98,4.611764706,85,%,2017-18
Somerville,Next Wave/Full Circle,02740510,3-A-i,a-reso-i1,Average class size,5,5,20,,2017-18
Revere,Seacoast High School,02480520,3-A-i,a-reso-i1,Average class size,6.7,4.66,20,,2017-18
Somerville,Michael E. Capuano Early Childhood Center,02740005,3-A-i,a-reso-i1,Average class size,13.6,3.28,20,,2017-18
Somerville,Somerville High School,02740505,3-A-i,a-reso-i1,Average class size,14.5,3.1,20,,2017-18
Somerville,Arthur D. Healey School,02740075,3-A-i,a-reso-i1,Average class size,15.1,2.98,20,,2017-18
Winchester,Winchester High School,03440505,3-A-i,a-reso-i1,Average class size,16.2,2.76,20,,2017-18
Revere,Revere High School,02480505,3-A-i,a-reso-i1,Average class size,16.5,2.7,20,,2017-18
Revere,Beachmont Elementary School,02480013,3-A-i,a-reso-i1,Average class size,16.7,2.66,20,,2017-18
Revere,Garfield Middle School,02480057,3-A-i,a-reso-i1,Average class size,18.4,2.32,20,,2017-18
Revere,Lincoln Elementary School,02480025,3-A-i,a-reso-i1,Average class size,18.4,2.32,20,,2017-18
Somerville,John F. Kennedy Elementary School,02740083,3-A-i,a-reso-i1,Average class size,18.4,2.32,20,,2017-18
Winchester,Lynch Elementary School,03440020,3-A-i,a-reso-i1,Average class size,18.6,2.28,20,,2017-18
Somerville,Winter Hill Community Innovation School,02740120,3-A-i,a-reso-i1,Average class size,18.8,2.24,20,,2017-18
Winchester,Lincoln Elementary School,02480025,3-A-i,a-reso-i1,Average class size,18.8,2.24,20,,2017-18
Somerville,Dr. Albert F. Argenziano School at Lincoln Park,02740087,3-A-i,a-reso-i1,Average class size,19.2,2.16,20,,2017-18
Somerville,Benjamin G. Brown School,02740015,3-A-i,a-reso-i1,Average class size,19.3,2.14,20,,2017-18
Revere,Garfield Elementary School,02480056,3-A-i,a-reso-i1,Average class size,19.4,2.12,20,,2017-18
Winchester,Muraco Elementary School,03440040,3-A-i,a-reso-i1,Average class size,19.4,2.12,20,,2017-18
Winchester,Ambrose Elementary School,03440045,3-A-i,a-reso-i1,Average class size,19.5,2.1,20,,2017-18
Somerville,East Somerville Community School,02740111,3-A-i,a-reso-i1,Average class size,19.8,2.04,20,,2017-18
Revere,Rumney Marsh Academy,02480014,3-A-i,a-reso-i1,Average class size,19.9,2.02,20,,2017-18
Somerville,West Somerville Neighborhood School,02740115,3-A-i,a-reso-i1,Average class size,20.2,1.96,20,,2017-18
Winchester,Vinson-Owen Elementary School,03440025,3-A-i,a-reso-i1,Average class size,20.5,1.9,20,,2017-18
Revere,Hill Elementary School,02480035,3-A-i,a-reso-i1,Average class size,21.3,1.74,20,,2017-18
Attleboro,Attleboro High School,00160505,3-A-i,a-reso-i1,Average class size,21.5,1.7,20,,2017-18
Revere,Susan B. Anthony Middle School,02480305,3-A-i,a-reso-i1,Average class size,22.3,1.54,20,,2017-18
Revere,Whelan Elementary School,02480003,3-A-i,a-reso-i1,Average class size,22.3,1.54,20,,2017-18
Attleboro,Thomas Willett Elementary School,00160035,3-A-i,a-reso-i1,Average class size,22.8,1.44,20,,2017-18
Revere,Paul Revere Elementary School,02480050,3-A-i,a-reso-i1,Average class size,22.8,1.44,20,,2017-18
Attleboro,A. Irvin Studley Elementary School,00160001,3-A-i,a-reso-i1,Average class size,23,1.4,20,,2017-18
Winchester,McCall Middle School,03440305,3-A-i,a-reso-i1,Average class size,23,1.4,20,,2017-18
