Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,# Grade 11 and 12 Students,# Students Completing Advanced,% Students Completing Advanced,% ELA,% Math,% Science and Technology,% Computer and Information Science,% History and Social Sciences,% Arts,% All Other Subjects,% All Other Subjects
11.16,5,a-curv-i2,2022-23,Abby Kelley Foster Charter Public (District)-Abby Kelley Foster Charter Public School,04450105,         178,         149,  83.7,  35.4,  66.3,  30.3,   0.0,  33.1,  13.5,  24.2,   0.0
11.16,5,a-curv-i2,2022-23,Abington-Abington High,00010505,         282,         236,  83.7,  14.9,  83.7,   5.0,   0.0,  11.3,   0.7,   0.0,   0.0
10.946666666666665,5,a-curv-i2,2022-23,Academy Of the Pacific Rim Charter Public (District)-Academy Of the Pacific Rim Charter Public School,04120530,         117,          96,  82.1,   0.0,  44.4,  34.2,  17.9,  64.1,   0.0,   8.5,   0.0
9.866666666666667,5,a-curv-i2,2022-23,Acton-Boxborough-Acton-Boxborough Regional High,06000505,         869,         643,  74.0,  20.0,  65.0,  40.7,   7.1,  44.0,   0.0,  10.7,   0.0
12.533333333333333,5,a-curv-i2,2022-23,Advanced Math and Science Academy Charter (District)-Advanced Math and Science Academy Charter School,04300305,         267,         251,  94.0,   5.6,  89.9,  27.0,   9.4,  46.4,   1.9,   5.2,   0.0
8.093333333333334,5,a-curv-i2,2022-23,Agawam-Agawam High,00050505,         484,         294,  60.7,  28.3,  48.8,  31.2,   4.3,  16.3,   0.0,   0.0,   0.0
10.28,5,a-curv-i2,2022-23,Amesbury-Amesbury High,00070505,         218,         168,  77.1,  17.0,  54.6,  21.6,   0.0,  41.3,   4.6,   6.4,   0.0
0.0,1,a-curv-i2,2022-23,Amesbury-Amesbury Innovation High School,00070515,          20,           0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
8.04,5,a-curv-i2,2022-23,Amherst-Pelham-Amherst Regional High,06050505,         433,         261,  60.3,   0.7,  52.7,  19.2,   2.1,  15.7,   0.0,  11.3,   0.0
10.413333333333332,5,a-curv-i2,2022-23,Andover-Andover High,00090505,         841,         657,  78.1,  43.3,  71.8,  34.5,   6.1,  27.1,   3.1,   8.3,   0.0
7.48,5,a-curv-i2,2022-23,Argosy Collegiate Charter School (District)-Argosy Collegiate Charter School,35090305,          98,          55,  56.1,  36.7,  33.7,   0.0,   0.0,  24.5,  12.2,  36.7,   0.0
11.093333333333334,5,a-curv-i2,2022-23,Arlington-Arlington High,00100505,         772,         642,  83.2,  39.8,  75.3,  32.0,   9.8,  44.9,   2.5,  12.4,   0.0
9.4,5,a-curv-i2,2022-23,Ashburnham-Westminster-Oakmont Regional High School,06100505,         319,         225,  70.5,  23.5,  63.3,   6.0,   0.0,   9.4,   0.0,   4.4,   0.0
9.293333333333333,5,a-curv-i2,2022-23,Ashland-Ashland High,00140505,         399,         278,  69.7,  12.3,  65.4,  24.6,  12.8,   0.3,   0.0,   0.0,   0.0
10.813333333333333,5,a-curv-i2,2022-23,Assabet Valley Regional Vocational Technical-Assabet Valley Vocational High School,08010605,         534,         433,  81.1,   5.2,  50.2,  17.8,   0.0,   3.9,   0.0,  28.8,  28.1
8.466666666666667,5,a-curv-i2,2022-23,Athol-Royalston-Athol High,06150505,         178,         113,  63.5,  20.8,  35.4,   7.9,   0.6,  32.6,   0.0,   0.0,   0.0
10.186666666666667,5,a-curv-i2,2022-23,Atlantis Charter (District)-Atlantis Charter School,04910550,         140,         107,  76.4,  24.3,  60.7,  36.4,   0.0,  27.9,   0.0,   0.0,   0.0
0.0,1,a-curv-i2,2022-23,Attleboro-Attleboro Community Academy,00160515,          52,           0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
7.546666666666667,5,a-curv-i2,2022-23,Attleboro-Attleboro High,00160505,         832,         471,  56.6,  12.0,  40.1,   8.4,   9.0,  33.7,   0.8,   0.1,   0.0
5.7733333333333325,5,a-curv-i2,2022-23,Attleboro-Attleboro Virtual Academy,00160705,          30,          13,  43.3,   3.3,  43.3,   3.3,   0.0,   0.0,   0.0,   0.0,   0.0
7.573333333333333,5,a-curv-i2,2022-23,Auburn-Auburn Senior High,00170505,         368,         209,  56.8,  11.7,  44.8,  20.1,   2.7,  24.2,   2.2,   3.5,   0.0
8.693333333333333,5,a-curv-i2,2022-23,Avon-Avon Middle High School,00180510,          92,          60,  65.2,   9.8,  64.1,  10.9,   0.0,   0.0,   0.0,   0.0,   0.0
8.306666666666667,5,a-curv-i2,2022-23,Ayer Shirley School District-Ayer Shirley Regional High School,06160505,         183,         114,  62.3,  23.5,  48.1,  20.2,   7.1,   8.2,   0.0,   4.4,   0.0
6.666666666666667,5,a-curv-i2,2022-23,Barnstable-Barnstable High,00200505,         652,         326,  50.0,  12.0,  39.4,  10.3,   4.1,  23.2,   2.0,   5.1,   0.0
13.053333333333335,5,a-curv-i2,2022-23,Baystate Academy Charter Public School (District)-Baystate Academy Charter Public School,35020405,          97,          95,  97.9,   0.0,  48.5,  49.5,   0.0,   0.0,   0.0,   0.0,   0.0
9.826666666666666,5,a-curv-i2,2022-23,Bedford-Bedford High,00230505,         392,         289,  73.7,  15.3,  71.4,  25.8,   3.8,   0.0,   0.0,   3.3,   0.0
8.906666666666666,5,a-curv-i2,2022-23,Belchertown-Belchertown High,00240505,         337,         225,  66.8,   7.1,  49.9,  15.4,   3.6,  23.1,   0.0,   0.3,   0.0
11.360000000000001,5,a-curv-i2,2022-23,Bellingham-Bellingham High School,00250505,         271,         231,  85.2,  21.0,  77.1,  46.5,   0.0,   1.1,   0.0,   0.0,   0.0
0.0,1,a-curv-i2,2022-23,Bellingham-Keough Memorial Academy,00250510,          11,           0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
11.479999999999999,5,a-curv-i2,2022-23,Belmont-Belmont High,00260505,         648,         558,  86.1,   7.9,  77.5,  70.5,  12.7,  42.6,   5.9,   1.2,   0.0
8.613333333333333,5,a-curv-i2,2022-23,Berkshire Arts and Technology Charter Public (District)-Berkshire Arts and Technology Charter Public School,04140305,          65,          42,  64.6,  43.1,  29.2,   4.6,   9.2,  18.5,   3.1,   7.7,   0.0
8.4,5,a-curv-i2,2022-23,Berkshire Hills-Monument Mt Regional High,06180505,         219,         138,  63.0,  35.6,  38.4,  26.0,  10.0,   5.9,   7.8,   5.0,   0.0
9.813333333333333,5,a-curv-i2,2022-23,Berlin-Boylston-Tahanto Regional High,06200505,         140,         103,  73.6,  43.6,  65.7,   7.1,   7.1,  20.7,   0.0,   0.0,   0.0
6.653333333333333,5,a-curv-i2,2022-23,Beverly-Beverly High,00300505,         629,         314,  49.9,  13.0,  37.4,   8.1,   0.0,  14.9,   1.9,  16.1,   0.0
10.639999999999999,5,a-curv-i2,2022-23,Billerica-Billerica Memorial High School,00310505,         545,         435,  79.8,  16.3,  70.1,  24.8,  29.7,  22.8,   0.0,   9.4,   0.0
9.026666666666667,5,a-curv-i2,2022-23,Blackstone Valley Regional Vocational Technical-Blackstone Valley,08050605,         603,         408,  67.7,  14.4,  50.2,  19.7,   1.2,  16.3,   1.5,   0.5,  23.2
8.653333333333334,5,a-curv-i2,2022-23,Blackstone-Millville-Blackstone Millville RHS,06220505,         185,         120,  64.9,  21.1,  37.8,  40.5,   3.2,   5.9,   0.5,   0.0,   0.0
8.946666666666665,5,a-curv-i2,2022-23,Blue Hills Regional Vocational Technical-Blue Hills Regional Vocational Technical,08060605,         431,         289,  67.1,   9.0,  58.2,  26.9,   0.0,   5.6,   0.0,   0.0,  18.3
