example_id                                                            | status  | run_time        |
--------------------------------------------------------------------- | ------- | --------------- |
./spec/controllers/categories_controller_spec.rb[1:1]                 | passed  | 0.24443 seconds |
./spec/controllers/home_controller_spec.rb[1:1]                       | passed  | 0.20059 seconds |
./spec/controllers/legacy/attempts_controller_spec.rb[1:1:1:1]        | passed  | 0.67117 seconds |
./spec/controllers/legacy/attempts_controller_spec.rb[1:1:1:2]        | passed  | 0.23316 seconds |
./spec/controllers/legacy/attempts_controller_spec.rb[1:1:1:3]        | passed  | 0.22162 seconds |
./spec/controllers/legacy/attempts_controller_spec.rb[1:1:1:4:1]      | passed  | 0.44774 seconds |
./spec/controllers/legacy/attempts_controller_spec.rb[1:1:1:4:2]      | passed  | 0.26557 seconds |
./spec/controllers/legacy/attempts_controller_spec.rb[1:1:1:4:3]      | passed  | 0.21289 seconds |
./spec/controllers/legacy/attempts_controller_spec.rb[1:1:2:1]        | passed  | 0.13883 seconds |
./spec/controllers/legacy/attempts_controller_spec.rb[1:1:2:2]        | passed  | 0.13311 seconds |
./spec/controllers/legacy/attempts_controller_spec.rb[1:1:3:1]        | passed  | 0.14887 seconds |
./spec/controllers/legacy/attempts_controller_spec.rb[1:1:3:2]        | passed  | 0.15085 seconds |
./spec/controllers/legacy/attempts_controller_spec.rb[1:1:4:1]        | passed  | 0.19151 seconds |
./spec/controllers/legacy/attempts_controller_spec.rb[1:1:4:2]        | passed  | 0.17838 seconds |
./spec/controllers/legacy/attempts_controller_spec.rb[1:1:5:1]        | passed  | 0.16568 seconds |
./spec/controllers/legacy/attempts_controller_spec.rb[1:1:5:2]        | passed  | 0.17401 seconds |
./spec/controllers/legacy/attempts_controller_spec.rb[1:1:6:1]        | passed  | 0.17284 seconds |
./spec/controllers/legacy/attempts_controller_spec.rb[1:1:6:2]        | passed  | 0.15053 seconds |
./spec/controllers/legacy/attempts_controller_spec.rb[1:1:7:1]        | passed  | 0.11986 seconds |
./spec/controllers/legacy/attempts_controller_spec.rb[1:1:7:2]        | passed  | 0.12095 seconds |
./spec/controllers/legacy/attempts_controller_spec.rb[1:1:8:1]        | passed  | 0.13446 seconds |
./spec/controllers/legacy/attempts_controller_spec.rb[1:1:8:2]        | passed  | 0.13566 seconds |
./spec/controllers/legacy/attempts_controller_spec.rb[1:1:9:1]        | passed  | 0.13108 seconds |
./spec/controllers/legacy/attempts_controller_spec.rb[1:1:9:2]        | passed  | 0.16042 seconds |
./spec/controllers/legacy/attempts_controller_spec.rb[1:1:10:1]       | passed  | 0.14521 seconds |
./spec/controllers/legacy/attempts_controller_spec.rb[1:1:10:2]       | passed  | 0.12677 seconds |
./spec/controllers/legacy/attempts_controller_spec.rb[1:1:11:1]       | passed  | 0.14823 seconds |
./spec/controllers/legacy/attempts_controller_spec.rb[1:1:11:2]       | passed  | 0.11038 seconds |
./spec/controllers/legacy/attempts_controller_spec.rb[1:1:12:1]       | passed  | 0.11007 seconds |
./spec/controllers/legacy/attempts_controller_spec.rb[1:1:12:2]       | passed  | 0.10069 seconds |
./spec/controllers/legacy/attempts_controller_spec.rb[1:1:13:1]       | passed  | 0.11044 seconds |
./spec/controllers/legacy/attempts_controller_spec.rb[1:1:13:2]       | passed  | 0.09786 seconds |
./spec/controllers/legacy/attempts_controller_spec.rb[1:1:14:1]       | passed  | 0.10618 seconds |
./spec/controllers/legacy/attempts_controller_spec.rb[1:1:14:2]       | passed  | 0.101 seconds   |
./spec/controllers/legacy/attempts_controller_spec.rb[1:2:1:1]        | passed  | 0.11178 seconds |
./spec/controllers/legacy/categories_controller_spec.rb[1:1:1]        | passed  | 0.18678 seconds |
./spec/controllers/legacy/categories_controller_spec.rb[1:2:1]        | passed  | 0.13676 seconds |
./spec/controllers/legacy/categories_controller_spec.rb[1:2:2]        | passed  | 0.01214 seconds |
./spec/controllers/legacy/categories_controller_spec.rb[1:3:1]        | passed  | 0.00656 seconds |
./spec/controllers/legacy/categories_controller_spec.rb[1:4:1]        | passed  | 0.01584 seconds |
./spec/controllers/legacy/categories_controller_spec.rb[1:5:1:1]      | passed  | 0.02535 seconds |
./spec/controllers/legacy/categories_controller_spec.rb[1:5:1:2]      | passed  | 0.01556 seconds |
./spec/controllers/legacy/categories_controller_spec.rb[1:5:1:3]      | passed  | 0.01641 seconds |
./spec/controllers/legacy/categories_controller_spec.rb[1:5:2:1]      | passed  | 0.0088 seconds  |
./spec/controllers/legacy/categories_controller_spec.rb[1:5:2:2]      | passed  | 0.00906 seconds |
./spec/controllers/legacy/categories_controller_spec.rb[1:6:1:1]      | passed  | 0.02251 seconds |
./spec/controllers/legacy/categories_controller_spec.rb[1:6:1:2]      | passed  | 0.01626 seconds |
./spec/controllers/legacy/categories_controller_spec.rb[1:6:1:3]      | passed  | 0.01933 seconds |
./spec/controllers/legacy/categories_controller_spec.rb[1:6:2:1]      | passed  | 0.01776 seconds |
./spec/controllers/legacy/categories_controller_spec.rb[1:6:2:2]      | passed  | 0.01994 seconds |
./spec/controllers/legacy/categories_controller_spec.rb[1:7:1]        | passed  | 0.02152 seconds |
./spec/controllers/legacy/categories_controller_spec.rb[1:7:2]        | passed  | 0.01895 seconds |
./spec/controllers/legacy/districts_controller_spec.rb[1:1:1]         | passed  | 0.01205 seconds |
./spec/controllers/legacy/districts_controller_spec.rb[1:2:1]         | passed  | 0.04178 seconds |
./spec/controllers/legacy/districts_controller_spec.rb[1:3:1]         | passed  | 0.00859 seconds |
./spec/controllers/legacy/districts_controller_spec.rb[1:4:1]         | passed  | 0.01739 seconds |
./spec/controllers/legacy/districts_controller_spec.rb[1:5:1:1]       | passed  | 0.01714 seconds |
./spec/controllers/legacy/districts_controller_spec.rb[1:5:1:2]       | passed  | 0.0141 seconds  |
./spec/controllers/legacy/districts_controller_spec.rb[1:5:1:3]       | passed  | 0.0169 seconds  |
./spec/controllers/legacy/districts_controller_spec.rb[1:5:2:1]       | passed  | 0.01043 seconds |
./spec/controllers/legacy/districts_controller_spec.rb[1:5:2:2]       | passed  | 0.01254 seconds |
./spec/controllers/legacy/districts_controller_spec.rb[1:6:1:1]       | passed  | 0.02244 seconds |
./spec/controllers/legacy/districts_controller_spec.rb[1:6:1:2]       | passed  | 0.01831 seconds |
